Median_Income,Poverty_Rate,State_Code
54943,769819,01
80287,75016,02
65913,934911,04
52123,468113,05
84097,4741175,06
80184,535976,08
83572,351476,09
72724,109274,10
93547,100618,11
61777,2744612,12
65030,1441351,13
88005,133740,15
63377,202560,16
72563,1483378,17
61944,819005,18
65429,339695,19
64521,327209,20
55454,709140,21
53571,850486,22
63182,145992,23
91431,550074,24
89026,668780,25
63202,1310058,26
77706,512312,27
49111,557111,28
61043,762023,29
60560,131512,30
66644,195455,31
65686,388814,32
83449,98429,33
89703,883896,34
54020,378896,35
75157,2636823,36
60516,1379672,37
68131,80390,38
61938,1528963,39
56956,583853,40
70084,498517,41
67587,1482811,42
74489,118257,44
58234,718345,45
63920,106291,46
58516,955929,47
67321,3965117,48
79133,278486,49
67674,64962,50
80615,828664,51
82400,746904,53
50884,295632,54
67080,610632,55
68002,60482,56
21967,1400997,72
